cmr_category,cmr_trait,bmr_category,bmr_trait,n,beta,pvalue
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (right),32082,0.096863389,9.85e-68
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Mean ICVF in external capsule on FA skeleton (right),32144,-0.096749479,1.05e-67
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (right),32098,0.09678736,1.16e-67
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L3 in tract superior thalamic radiation (left),32135,0.096719254,1.21e-67
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L1 in anterior corona radiata on FA skeleton (right),32169,0.096619754,1.41e-67
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (right),32131,0.096671725,1.43e-67
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L2 in external capsule on FA skeleton (left),32078,0.096738971,1.48e-67
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (right),32122,0.096623445,1.73e-67
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L1 in tract superior longitudinal fasciculus (left),32166,0.096534317,1.87e-67
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in sagittal stratum on FA skeleton (left),32175,0.096479264,2.13e-67
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L1 in tract superior longitudinal fasciculus (left),32141,0.096475125,2.53e-67
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L1 in tract uncinate fasciculus (left),32191,0.096302805,3.44e-67
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (left),32113,0.096327992,4.57e-67
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean MD in external capsule on FA skeleton (left),32036,0.096391339,5.38e-67
Left ventricle,LV myocardial mass,NODDI dMRI,Weighted-mean ISOVF in tract superior longitudinal fasciculus (right),32173,0.096101876,7.01e-67
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L1 in anterior corona radiata on FA skeleton (left),32160,0.096086114,7.83e-67
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (left),32094,0.09613688,9.08e-67
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (right),32149,0.09605193,9.17e-67
Left ventricle,LV myocardial mass,NODDI dMRI,Mean ISOVF in external capsule on FA skeleton (right),31885,0.09639374,1.08e-66
Left ventricle,LV myocardial mass,DTI dMRI,Mean L1 in anterior corona radiata on FA skeleton (right),32194,0.095928482,1.09e-66
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (left),32120,0.095980582,1.31e-66
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in sagittal stratum on FA skeleton (left),32150,0.095871008,1.61e-66
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (right),32137,0.095886917,1.62e-66
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in posterior corona radiata on FA skeleton (right),31920,0.095947302,3.68e-66
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (right),32057,0.095715704,4.01e-66
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (left),32141,0.095527534,4.88e-66
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (right),31987,0.095701992,5.77e-66
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (right),32124,0.095346365,9.26e-66
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in cingulum cingulate gyrus on FA skeleton (left),32172,0.095256026,9.84e-66
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (left),32128,0.095279936,1.12e-65
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L1 in tract inferior fronto-occipital fasciculus (left),32192,0.095130577,1.33e-65
Left ventricle,LV myocardial mass,NODDI dMRI,Mean ISOVF in anterior corona radiata on FA skeleton (left),32174,0.095145606,1.37e-65
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L1 in tract superior longitudinal fasciculus (right),32176,0.09500366,2.11e-65
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (left),31981,0.09513191,3.46e-65
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean MD in external capsule on FA skeleton (right),32033,0.095044386,3.57e-65
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L2 in external capsule on FA skeleton (left),32079,0.094841269,5.42e-65
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (right),32106,0.094743689,6.47e-65
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean L2 in tract anterior thalamic radiation (right),32123,0.094717579,6.5e-65
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (right),32125,0.094696405,6.87e-65
Left ventricle,LV myocardial mass,NODDI dMRI,Mean ISOVF in anterior limb of internal capsule on FA skeleton (right),32138,0.094618652,8.23e-65
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean MD in tract forceps minor,32192,0.094475551,1e-64
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in uncinate fasciculus on FA skeleton (right),32177,0.094496669,1.01e-64
Left ventricle,LV myocardial mass,NODDI dMRI,Mean ISOVF in superior longitudinal fasciculus on FA skeleton (left),32171,0.094474606,1.11e-64
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean MD in tract superior thalamic radiation (right),32122,0.094498911,1.28e-64
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean MD in external capsule on FA skeleton (right),32024,0.09458511,1.53e-64
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (right),32056,0.094526661,1.58e-64
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (left),32105,0.094316375,2.42e-64
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L2 in anterior limb of internal capsule on FA skeleton (left),32073,0.094289564,3.03e-64
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L3 in tract inferior longitudinal fasciculus (right),32175,0.094099891,3.43e-64
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (right),32105,0.09413616,4.2e-64
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean MD in tract inferior fronto-occipital fasciculus (left),32142,0.09405392,4.58e-64
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean MD in tract inferior fronto-occipital fasciculus (left),32141,0.093902931,7.3e-64
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in posterior corona radiata on FA skeleton (left),31959,0.094120487,8.45e-64
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L2 in tract inferior longitudinal fasciculus (right),32178,0.093797424,8.55e-64
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in cingulum cingulate gyrus on FA skeleton (right),32171,0.093703332,1.17e-63
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (right),32057,0.093782388,1.53e-63
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (left),32106,0.09350935,2.83e-63
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L1 in external capsule on FA skeleton (right),32106,0.093480276,3.09e-63
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L3 in external capsule on FA skeleton (right),32035,0.093424948,4.99e-63
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in posterior corona radiata on FA skeleton (right),31944,0.093528256,5.45e-63
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (left),31979,0.09345165,5.89e-63
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean L1 in tract superior longitudinal fasciculus (right),32148,0.093205499,5.91e-63
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (left),32105,0.093249617,6.24e-63
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),32053,0.093230647,8.31e-63
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean L3 in superior fronto-occipital fasciculus on FA skeleton (left),31652,0.093771489,9.52e-63
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (right),32124,0.093065118,1e-62
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L3 in external capsule on FA skeleton (left),32042,0.093137002,1.16e-62
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),32053,0.093071047,1.35e-62
Left ventricle,LV myocardial mass,DTI dMRI,Mean L2 in superior longitudinal fasciculus on FA skeleton (right),32165,0.092864479,1.54e-62
Left ventricle,LV mean myocardial wall thickness global,NODDI dMRI,Mean ISOVF in external capsule on FA skeleton (left),31736,0.093375275,2.16e-62
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in sagittal stratum on FA skeleton (right),32184,0.092721015,2.19e-62
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Weighted-mean L1 in tract anterior thalamic radiation (right),32143,0.092736228,2.5e-62
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (right),32115,0.092744963,2.75e-62
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (right),32056,0.092783859,3.16e-62
Left ventricle,LV mean myocardial wall thickness AHA 4,DTI dMRI,Mean MD in external capsule on FA skeleton (right),32036,0.092740526,3.92e-62
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),27460,-0.100113793,4.16e-62
Left ventricle,LV myocardial mass,NODDI dMRI,Mean ICVF in external capsule on FA skeleton (right),32169,-0.092500301,4.55e-62
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (left),32143,0.092504107,5.03e-62
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean FA in tract superior longitudinal fasciculus (right),32200,-0.092422048,5.04e-62
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean L3 in superior longitudinal fasciculus on FA skeleton (right),32107,0.092482328,6.27e-62
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean FA in tract superior longitudinal fasciculus (left),32198,-0.092315957,6.99e-62
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean MD in tract superior thalamic radiation (left),32125,0.092411763,7.17e-62
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),32120,0.092415633,7.25e-62
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (right),32124,0.092281026,1.07e-61
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L2 in external capsule on FA skeleton (right),32089,0.092322331,1.1e-61
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (left),31979,0.092398797,1.4e-61
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in body of corpus callosum on FA skeleton,32178,0.092107349,1.43e-61
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (left),32124,0.092167318,1.5e-61
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (right),30420,0.094688995,1.56e-61
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Mean L3 in anterior corona radiata on FA skeleton (left),30411,0.094648069,1.83e-61
Left ventricle,LV mean myocardial wall thickness AHA 11,DTI dMRI,Mean L1 in external capsule on FA skeleton (right),32108,0.092119179,1.86e-61
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L2 in external capsule on FA skeleton (right),32090,0.092134959,1.91e-61
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Weighted-mean MD in tract superior longitudinal fasciculus (right),32125,0.092064128,2.04e-61
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean L3 in tract superior longitudinal fasciculus (left),32112,0.092069288,2.12e-61
Left ventricle,LV mean myocardial wall thickness AHA 10,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),32054,0.092148347,2.14e-61
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Weighted-mean MD in tract anterior thalamic radiation (left),32120,0.092049046,2.18e-61
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Weighted-mean FA in tract superior longitudinal fasciculus (left),32173,-0.091973424,2.18e-61
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean MD in external capsule on FA skeleton (left),27449,-0.099527943,2.24e-61
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (left),32128,0.092022744,2.27e-61
Left ventricle,LV mean myocardial wall thickness global,DTI dMRI,Mean MD in body of corpus callosum on FA skeleton,32153,0.091985153,2.29e-61
Left ventricle,LV myocardial mass,DTI dMRI,Weighted-mean L3 in tract inferior longitudinal fasciculus (left),32172,0.091933195,2.46e-61
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean L2 in anterior corona radiata on FA skeleton (right),32138,0.091940488,2.79e-61
Left ventricle,LV mean myocardial wall thickness AHA 4,DTI dMRI,Mean MD in external capsule on FA skeleton (left),32048,0.092056695,2.89e-61
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in anterior limb of internal capsule on FA skeleton (left),32077,0.091895511,4.13e-61
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L1 in external capsule on FA skeleton (right),32107,0.091848783,4.18e-61
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L3 in external capsule on FA skeleton (right),32036,0.091908193,4.74e-61
Left ventricle,LV myocardial mass,DTI dMRI,Mean MD in retrolenticular part of internal capsule on FA skeleton (left),32181,0.091608739,6.26e-61
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L3 in external capsule on FA skeleton (left),32043,0.091802555,6.3e-61
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean MD in anterior corona radiata on FA skeleton (left),32128,0.09163828,7.17e-61
